Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,Time,Chall,Succ,Succ%,Managers
Arizona Diamondbacks,2135510,26364,28.7,28.6,101,101,0,2,10,$124016266,3:15,36,21,58%,Lovullo
Atlanta Braves,2654920,32777,28.0,27.5,106,104,0,3,21,$133186667,3:13,30,16,53%,Snitker
Chicago Cubs,3094865,38208,27.7,31.1,100,100,0,3,19,$220305215,3:12,32,16,50%,Maddon
Cincinnati Reds,1809075,22334,27.9,28.2,106,106,0,2,14,$109737499,3:03,34,14,41%,Bell
Colorado Rockies,2993244,36954,28.2,27.3,116,117,0,4,11,$145348500,3:14,38,20,52%,Black
Los Angeles Dodgers,3974309,49066,27.9,28.9,97,94,0,5,16,$193553333,3:12,34,19,55%,Roberts
Miami Marlins,811302,10016,28.4,26.5,96,97,0,1,8,$74683643,3:05,43,22,51%,Mattingly
Milwaukee Brewers,2923333,36091,28.9,28.7,101,101,0,5,15,$128842900,3:16,28,16,57%,Counsell
New York Mets,2442532,30155,27.9,28.6,93,93,0,3,18,$154837230,3:09,36,13,36%,Callaway
Philadelphia Phillies,2727421,33672,27.6,28.4,101,101,0,1,12,$141786962,3:15,43,23,53%,Kapler
Pittsburgh Pirates,1491439,18413,27.4,27.2,97,98,0,2,13,$72915501,3:12,36,15,41%,Hurdle and Prince
San Diego Padres,2396399,29585,26.1,26.3,94,95,0,1,8,$90260767,3:07,54,25,46%,Green and Barajas
San Francisco Giants,2707760,33429,29.9,28.9,95,95,0,1,15,$175450753,3:07,28,15,53%,Bochy
St. Louis Cardinals,3480393,42968,28.8,27.8,96,95,0,1,15,$161120267,3:10,39,16,41%,Shildt
Washington Nationals,2259781,27899,28.7,30.8,102,102,0,2,16,$203016595,3:12,31,15,48%,Martinez
